bits,source,prefix,query,run,time_s
12,view,jos,full,0,0.031099250016268343
12,view,jos,full,1,0.031067083007656038
12,view,jos,full,2,0.03082270798040554
12,view,jos,full,3,0.03292445797706023
12,view,jos,full,4,0.03125604201341048
12,view,jos,full,5,0.030977832968346775
12,view,jos,full,6,0.03137995797442272
12,view,jos,full,7,0.030991000006906688
12,view,jos,full,8,0.031029290985316038
12,view,jos,full,9,0.03118350001750514
12,view,jos,fp_exact,0,0.024990083009470254
12,view,jos,fp_exact,1,0.025093749980442226
12,view,jos,fp_exact,2,0.023704082996118814
12,view,jos,fp_exact,3,0.023250000027474016
12,view,jos,fp_exact,4,0.024336583039257675
12,view,jos,fp_exact,5,0.023729207983706146
12,view,jos,fp_exact,6,0.02253783302148804
12,view,jos,fp_exact,7,0.022421250003390014
12,view,jos,fp_exact,8,0.024052000022493303
12,view,jos,fp_exact,9,0.021424499980639666
12,view,2012,full,0,0.03196774999378249
12,view,2012,full,1,0.031777874974068254
12,view,2012,full,2,0.03167154098628089
12,view,2012,full,3,0.03306887502549216
12,view,2012,full,4,0.031856708985287696
12,view,2012,full,5,0.033716582984197885
12,view,2012,full,6,0.032371832989156246
12,view,2012,full,7,0.03322149999439716
12,view,2012,full,8,0.03187995799817145
12,view,2012,full,9,0.03183037496637553
12,view,2012,fp_exact,0,0.021617666992824525
12,view,2012,fp_exact,1,0.021897958009503782
12,view,2012,fp_exact,2,0.01904120802646503
12,view,2012,fp_exact,3,0.019682499987538904
12,view,2012,fp_exact,4,0.021683165978174657
12,view,2012,fp_exact,5,0.019148999999742955
12,view,2012,fp_exact,6,0.018810042005497962
12,view,2012,fp_exact,7,0.020305042038671672
12,view,2012,fp_exact,8,0.02168270800029859
12,view,2012,fp_exact,9,0.019815083011053503
12,view,the,full,0,0.03141383401816711
12,view,the,full,1,0.031224292004480958
12,view,the,full,2,0.03146379202371463
12,view,the,full,3,0.03223912505200133
12,view,the,full,4,0.030801374989096075
12,view,the,full,5,0.03097558399895206
12,view,the,full,6,0.03227620798861608
12,view,the,full,7,0.030842042004223913
12,view,the,full,8,0.030970083025749773
12,view,the,full,9,0.03248541598441079
12,view,the,fp_exact,0,0.02333341696066782
12,view,the,fp_exact,1,0.022910667001269758
12,view,the,fp_exact,2,0.02721716702217236
12,view,the,fp_exact,3,0.02402970800176263
12,view,the,fp_exact,4,0.023555541003588587
12,view,the,fp_exact,5,0.025193166977260262
12,view,the,fp_exact,6,0.026564374973531812
12,view,the,fp_exact,7,0.02515966701321304
12,view,the,fp_exact,8,0.025508499995339662
12,view,the,fp_exact,9,0.02447437500813976
12,view,a,full,0,0.03166662500007078
12,view,a,full,1,0.032220458961091936
12,view,a,full,2,0.03175737499259412
12,view,a,full,3,0.031778000004123896
12,view,a,full,4,0.03162358398549259
12,view,a,full,5,0.031693166005425155
12,view,a,full,6,0.03163720801239833
12,view,a,full,7,0.031670917000155896
12,view,a,full,8,0.03151487500872463
12,view,a,full,9,0.03241741599049419
12,view,a,fp_exact,0,0.023007624957244843
12,view,a,fp_exact,1,0.02563200000440702
12,view,a,fp_exact,2,0.02342762495391071
12,view,a,fp_exact,3,0.028104041994083673
12,view,a,fp_exact,4,0.022673624975141138
12,view,a,fp_exact,5,0.02292308397591114
12,view,a,fp_exact,6,0.02613862499129027
12,view,a,fp_exact,7,0.02098041702993214
12,view,a,fp_exact,8,0.022796541976276785
12,view,a,fp_exact,9,0.02536487497854978
12,view,(,full,0,0.03235041699372232
12,view,(,full,1,0.03252562502166256
12,view,(,full,2,0.0325527079985477
12,view,(,full,3,0.032384041987825185
12,view,(,full,4,0.03244162502232939
12,view,(,full,5,0.03283229097723961
12,view,(,full,6,0.03256620798492804
12,view,(,full,7,0.03340775001561269
12,view,(,full,8,0.032867707952391356
12,view,(,full,9,0.03400733304442838
12,view,(,fp_exact,0,0.031193208997137845
12,view,(,fp_exact,1,0.030483834038022906
12,view,(,fp_exact,2,0.027341082983184606
12,view,(,fp_exact,3,0.02920175000326708
12,view,(,fp_exact,4,0.03194787498796359
12,view,(,fp_exact,5,0.028034666960593313
12,view,(,fp_exact,6,0.027827207988593727
12,view,(,fp_exact,7,0.02727033302653581
12,view,(,fp_exact,8,0.030081542034167796
12,view,(,fp_exact,9,0.02803720801603049
12,view,#,full,0,0.0325659160153009
12,view,#,full,1,0.03265825001290068
12,view,#,full,2,0.03246412496082485
12,view,#,full,3,0.032690332969650626
12,view,#,full,4,0.03208983299555257
12,view,#,full,5,0.03213233302813023
12,view,#,full,6,0.03226716601056978
12,view,#,full,7,0.03183791699120775
12,view,#,full,8,0.032117624999955297
12,view,#,full,9,0.03182808303972706
12,view,#,fp_exact,0,0.021490791987162083
12,view,#,fp_exact,1,0.02129595901351422
12,view,#,fp_exact,2,0.018346750002820045
12,view,#,fp_exact,3,0.02104870800394565
12,view,#,fp_exact,4,0.020535250019747764
12,view,#,fp_exact,5,0.024314999987836927
12,view,#,fp_exact,6,0.02172591700218618
12,view,#,fp_exact,7,0.023677958000916988
12,view,#,fp_exact,8,0.022891208005603403
12,view,#,fp_exact,9,0.0312666249810718
12,table,jos,full,0,0.004127166990656406
12,table,jos,full,1,0.004144834005273879
12,table,jos,full,2,0.004119209013879299
12,table,jos,full,3,0.004067791975103319
12,table,jos,full,4,0.004067874979227781
12,table,jos,full,5,0.004187250044196844
12,table,jos,full,6,0.004119416989851743
12,table,jos,full,7,0.004154083027970046
12,table,jos,full,8,0.004110542009584606
12,table,jos,full,9,0.0041364170028828084
12,table,jos,fp_exact,0,0.0023914999910630286
12,table,jos,fp_exact,1,0.0024390829494223
12,table,jos,fp_exact,2,0.0023157079704105854
12,table,jos,fp_exact,3,0.0022867079824209213
12,table,jos,fp_exact,4,0.002328542002942413
12,table,jos,fp_exact,5,0.002361249993555248
12,table,jos,fp_exact,6,0.0023268329678103328
12,table,jos,fp_exact,7,0.0023526669829152524
12,table,jos,fp_exact,8,0.002324166998732835
12,table,jos,fp_exact,9,0.0022935839951969683
12,table,2012,full,0,0.00397654197877273
12,table,2012,full,1,0.00398174999281764
12,table,2012,full,2,0.003934459004085511
12,table,2012,full,3,0.003961500013247132
12,table,2012,full,4,0.003935832995921373
12,table,2012,full,5,0.003991417004726827
12,table,2012,full,6,0.003938833950087428
12,table,2012,full,7,0.003983874979894608
12,table,2012,full,8,0.004057416983414441
12,table,2012,full,9,0.003999833017587662
12,table,2012,fp_exact,0,0.0022069589467719197
12,table,2012,fp_exact,1,0.0021941669983789325
12,table,2012,fp_exact,2,0.0022569579887203872
12,table,2012,fp_exact,3,0.00223912502406165
12,table,2012,fp_exact,4,0.002244458009954542
12,table,2012,fp_exact,5,0.002210000006016344
12,table,2012,fp_exact,6,0.0023023749818094075
12,table,2012,fp_exact,7,0.0021883329609408975
12,table,2012,fp_exact,8,0.0021514580002985895
12,table,2012,fp_exact,9,0.0022089590202085674
12,table,the,full,0,0.003900791984051466
12,table,the,full,1,0.003849250031635165
12,table,the,full,2,0.003778665966819972
12,table,the,full,3,0.0038240840076468885
12,table,the,full,4,0.003756792051717639
12,table,the,full,5,0.0038148750318214297
12,table,the,full,6,0.003850832988973707
12,table,the,full,7,0.003865332982968539
12,table,the,full,8,0.0037919169990345836
12,table,the,full,9,0.003695000021252781
12,table,the,fp_exact,0,0.003605624951887876
12,table,the,fp_exact,1,0.0037133750156499445
12,table,the,fp_exact,2,0.003695291990879923
12,table,the,fp_exact,3,0.0037478749873116612
12,table,the,fp_exact,4,0.003667374956421554
12,table,the,fp_exact,5,0.0036441670381464064
12,table,the,fp_exact,6,0.0036215409636497498
12,table,the,fp_exact,7,0.0036405419814400375
12,table,the,fp_exact,8,0.003660125017631799
12,table,the,fp_exact,9,0.003642000025138259
12,table,a,full,0,0.00445262499852106
12,table,a,full,1,0.004394459014292806
12,table,a,full,2,0.004649791982956231
12,table,a,full,3,0.004578959022182971
12,table,a,full,4,0.004568916978314519
12,table,a,full,5,0.0044709580251947045
12,table,a,full,6,0.004552291007712483
12,table,a,full,7,0.004429708991665393
12,table,a,full,8,0.004501374962273985
12,table,a,full,9,0.0046141669736243784
12,table,a,fp_exact,0,0.0039362910320051014
12,table,a,fp_exact,1,0.003945208038203418
12,table,a,fp_exact,2,0.0039225000073201954
12,table,a,fp_exact,3,0.00396437500603497
12,table,a,fp_exact,4,0.003883542027324438
12,table,a,fp_exact,5,0.0039037500391714275
12,table,a,fp_exact,6,0.0039427499868907034
12,table,a,fp_exact,7,0.003952708037104458
12,table,a,fp_exact,8,0.0038927080458961427
12,table,a,fp_exact,9,0.003911209001671523
12,table,(,full,0,0.004034875018987805
12,table,(,full,1,0.004157292016316205
12,table,(,full,2,0.004091917013283819
12,table,(,full,3,0.004108499968424439
12,table,(,full,4,0.004109333036467433
12,table,(,full,5,0.004138124990276992
12,table,(,full,6,0.004408582986798137
12,table,(,full,7,0.004137417010497302
12,table,(,full,8,0.004142165998928249
12,table,(,full,9,0.0040843330207280815
12,table,(,fp_exact,0,0.004289333999622613
12,table,(,fp_exact,1,0.0042287909891456366
12,table,(,fp_exact,2,0.004280042019672692
12,table,(,fp_exact,3,0.004256125015672296
12,table,(,fp_exact,4,0.004306666029151529
12,table,(,fp_exact,5,0.004284166032448411
12,table,(,fp_exact,6,0.004364708031062037
12,table,(,fp_exact,7,0.004278375010471791
12,table,(,fp_exact,8,0.004233499988913536
12,table,(,fp_exact,9,0.004249750054441392
12,table,#,full,0,0.0029446249827742577
12,table,#,full,1,0.0029143330175429583
12,table,#,full,2,0.002840208006091416
12,table,#,full,3,0.0028419579612091184
12,table,#,full,4,0.002930459042545408
12,table,#,full,5,0.0028470000252127647
12,table,#,full,6,0.0028829590301029384
12,table,#,full,7,0.002993792004417628
12,table,#,full,8,0.0028902500052936375
12,table,#,full,9,0.0028864169726148248
12,table,#,fp_exact,0,0.0018710409640334547
12,table,#,fp_exact,1,0.0018725830013863742
12,table,#,fp_exact,2,0.0018829579930752516
12,table,#,fp_exact,3,0.001913707994390279
12,table,#,fp_exact,4,0.0018515830161049962
12,table,#,fp_exact,5,0.0018330829916521907
12,table,#,fp_exact,6,0.0018181659979745746
12,table,#,fp_exact,7,0.0018266250262968242
12,table,#,fp_exact,8,0.0018251250148750842
12,table,#,fp_exact,9,0.0018092080135829747
